0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,-0.00012936,4.93031e-05,4.93031e-05,4.93031e-05,4.93031e-05,4.93031e-05,4.93031e-05,4.93031e-05,5.2703e-05,5.2703e-05,5.27977e-05,5.27977e-05,4.89552e-05,4.89552e-05,4.91166e-05,4.91166e-05,4.91166e-05,5.03419e-05,5.03419e-05,5.03419e-05,5.03419e-05,5.03419e-05,5.03419e-05,5.03419e-05,4.95175e-05,4.95175e-05,4.95175e-05,4.97369e-05,4.97369e-05,4.97369e-05,4.97369e-05,4.97369e-05
0.1,-0.00100638,0.000394329,0.000394329,0.000394329,0.000394329,0.000394329,0.000394329,0.000394329,0.000421543,0.000421543,0.000422299,0.000422299,0.000391568,0.000391568,0.000392859,0.000392859,0.000392859,0.000402665,0.000402665,0.000402665,0.000402665,0.000402665,0.000402665,0.000402665,0.000396067,0.000396067,0.000396067,0.000397822,0.000397822,0.000397822,0.000397822,0.000397822
0.15,-0.00330032,0.00133032,0.00133032,0.00133032,0.00133032,0.00133032,0.00133032,0.00133032,0.00142225,0.00142225,0.00142479,0.00142479,0.00132112,0.00132112,0.00132548,0.00132548,0.00132548,0.00135859,0.00135859,0.00135859,0.00135859,0.00135859,0.00135859,0.00135859,0.00133631,0.00133631,0.00133631,0.00134224,0.00134224,0.00134224,0.00134224,0.00134224
0.2,-0.00759495,0.00315153,0.00315153,0.00315153,0.00315153,0.00315153,0.00315153,0.00315153,0.00336974,0.00336974,0.00337572,0.00337572,0.00313015,0.00313015,0.00314049,0.00314049,0.00314049,0.00321903,0.00321903,0.00321903,0.00321903,0.00321903,0.00321903,0.00321903,0.00316617,0.00316617,0.00316617,0.00318022,0.00318022,0.00318022,0.00318022,0.00318022
0.25,-0.0143885,0.00615073,0.00615073,0.00615073,0.00615073,0.00615073,0.00615073,0.00615073,0.00657767,0.00657767,0.00658925,0.00658925,0.00611005,0.00611005,0.00613025,0.00613025,0.00613025,0.00628379,0.00628379,0.00628379,0.00628379,0.00628379,0.00628379,0.00628379,0.00618041,0.00618041,0.00618041,0.00620787,0.00620787,0.00620787,0.00620787,0.00620787
0.3,-0.0240938,0.0106186,0.0106186,0.0106186,0.0106186,0.0106186,0.0106186,0.0106186,0.011358,0.011358,0.0113778,0.0113778,0.0105507,0.0105507,0.0105856,0.0105856,0.0105856,0.0108512,0.0108512,0.0108512,0.0108512,0.0108512,0.0108512,0.0108512,0.0106723,0.0106723,0.0106723,0.0107198,0.0107198,0.0107198,0.0107198,0.0107198
0.35,-0.0370379,0.0168433,0.0168433,0.0168433,0.0168433,0.0168433,0.0168433,0.0168433,0.0180206,0.0180206,0.0180516,0.0180516,0.0167398,0.0167398,0.0167953,0.0167953,0.0167953,0.0172176,0.0172176,0.0172176,0.0172176,0.0172176,0.0172176,0.0172176,0.016933,0.016933,0.016933,0.0170085,0.0170085,0.0170085,0.0170085,0.0170085
0.4,-0.0534627,0.0251093,0.0251093,0.0251093,0.0251093,0.0251093,0.0251093,0.0251093,0.0268725,0.0268725,0.0269181,0.0269181,0.0249628,0.0249628,0.0250457,0.0250457,0.0250457,0.0256771,0.0256771,0.0256771,0.0256771,0.0256771,0.0256771,0.0256771,0.0252514,0.0252514,0.0252514,0.0253641,0.0253641,0.0253641,0.0253641,0.0253641
0.45,-0.0735244,0.0356971,0.0356971,0.0356971,0.0356971,0.0356971,0.0356971,0.0356971,0.0382176,0.0382176,0.0382813,0.0382813,0.035502,0.035502,0.0356201,0.0356201,0.0356201,0.0365207,0.0365207,0.0365207,0.0365207,0.0365207,0.0365207,0.0365207,0.0359132,0.0359132,0.0359132,0.0360738,0.0360738,0.0360738,0.0360738,0.0360738
0.5,-0.0972935,0.0488818,0.0488818,0.0488818,0.0488818,0.0488818,0.0488818,0.0488818,0.0523559,0.0523559,0.0524412,0.0524412,0.048636,0.048636,0.0487982,0.0487982,0.0487982,0.0500361,0.0500361,0.0500361,0.0500361,0.0500361,0.0500361,0.0500361,0.0492005,0.0492005,0.0492005,0.049421,0.049421,0.049421,0.049421,0.049421
0.55,-0.124755,0.0649323,0.0649323,0.0649323,0.0649323,0.0649323,0.0649323,0.0649323,0.0695828,0.0695828,0.0696932,0.0696932,0.0646392,0.0646392,0.0648553,0.0648553,0.0648553,0.0665065,0.0665065,0.0665065,0.0665065,0.0665065,0.0665065,0.0665065,0.065391,0.065391,0.065391,0.0656849,0.0656849,0.0656849,0.0656849,0.0656849
0.6,-0.15581,0.0841086,0.0841086,0.0841086,0.0841086,0.0841086,0.0841086,0.0841086,0.0901882,0.0901882,0.0903269,0.0903269,0.0837807,0.0837807,0.0840615,0.0840615,0.0840615,0.0862102,0.0862102,0.0862102,0.0862102,0.0862102,0.0862102,0.0862102,0.0847572,0.0847572,0.0847572,0.0851393,0.0851393,0.0851393,0.0851393,0.0851393
0.65,-0.190271,0.10666,0.10666,0.10666,0.10666,0.10666,0.10666,0.10666,0.114456,0.114456,0.114625,0.114625,0.106323,0.106323,0.106681,0.106681,0.106681,0.10942,0.10942,0.10942,0.10942,0.10942,0.10942,0.10942,0.107565,0.107565,0.107565,0.108052,0.108052,0.108052,0.108052,0.108052
